setup,scheme,sum_se,mean_se,tau_p_actual,n_active_ap,n_active_rf,ee_bps_per_hz_per_watt
19,Structured (Chen),249.05275917948134,4.981055183589627,15,200,1600,1.334211209890079
19,Mussbah,263.0449732091175,5.26089946418235,7,171,635,1.9715311596750964
19,MJH weighted-count default,263.0449732091175,5.26089946418235,7,171,635,1.9715311596750964
19,MJH weighted-count strict,270.89615641970056,5.417923128394011,3,171,635,2.0303760490152816
19,MJH weighted-power,263.0449732091175,5.26089946418235,7,171,635,1.9715311596750964
19,MJH beam-resource matching,263.9029576714185,5.27805915342837,6,171,635,1.977961782854498
19,TopAP (bisect),249.0457517028293,4.980915034056586,15,199,1592,1.340096417395611
19,Hybrid#3 (TopAP N=8 adaptive),263.12533721251907,5.2625067442503815,7,177,1416,1.569102045694096
19,Hybrid#4 (TopAP+greedy),249.0304834858882,4.980609669717764,15,188,1504,1.4088090712005745
20,Random,276.8195701311278,5.536391402622557,15,200,1600,1.482961982845328
20,Gao matching,276.9799805374309,5.539599610748618,15,200,1600,1.483821324307666
20,GC (Liu),277.06628889884547,5.541325777976909,15,200,1600,1.4842836905295296
20,Structured (Chen),277.07588081247974,5.541517616249595,15,200,1600,1.4843350757811418
20,Mussbah,293.54375829262796,5.870875165852559,6,168,654,2.212641394165538
20,MJH weighted-count default,293.54375829262796,5.870875165852559,6,168,654,2.212641394165538
20,MJH weighted-count strict,299.44366894459,5.9888733788918,3,168,654,2.25711308249691
20,MJH weighted-power,293.54375829262796,5.870875165852559,6,168,654,2.212641394165538
20,MJH beam-resource matching,298.9540222813894,5.979080445627789,4,168,654,2.253422278502936
20,TopAP (bisect),277.05059259804517,5.541011851960904,15,198,1584,1.4974358666681122
20,Hybrid#3 (TopAP N=8 adaptive),293.85623858707027,5.877124771741405,7,181,1448,1.718541285172203
20,Hybrid#4 (TopAP+greedy),277.0483182274495,5.54096636454899,15,189,1512,1.5600299463795197
21,Random,242.17711507391599,4.84354230147832,15,200,1600,1.297377402181693
21,Gao matching,242.35914383712898,4.84718287674258,15,200,1600,1.2983525562703342
21,GC (Liu),242.13386226374456,4.842677245274891,15,200,1600,1.2971456906986318
21,Structured (Chen),242.11746041769433,4.842349208353887,15,200,1600,1.2970578236662198
21,Mussbah,257.92162769545826,5.158432553909165,8,167,677,1.9380703154363232
21,MJH weighted-count default,257.92162769545826,5.158432553909165,8,167,677,1.9380703154363232
21,MJH weighted-count strict,262.5608630954068,5.251217261908136,4,167,677,1.972930379306492
21,MJH weighted-power,257.92162769545826,5.158432553909165,8,167,677,1.9380703154363232
21,MJH beam-resource matching,262.20082712653664,5.244016542530733,4,167,677,1.9702250031424564
21,TopAP (bisect),242.08297873669437,4.841659574733887,15,197,1576,1.3142993009276265
21,Hybrid#3 (TopAP N=8 adaptive),257.8999433405909,5.157998866811818,8,176,1408,1.5455450060363018
21,Hybrid#4 (TopAP+greedy),242.12672527858462,4.842534505571693,15,187,1496,1.3761761489807303
22,Random,252.53567700117435,5.050713540023487,15,200,1600,1.3528696982205772
22,Gao matching,252.73828206627616,5.054765641325523,15,200,1600,1.3539550824979083
22,GC (Liu),252.86504982904898,5.05730099658098,15,200,1600,1.3546341955127628
22,Structured (Chen),252.83433943641373,5.056686788728275,15,200,1600,1.3544696755522168
22,Mussbah,267.2881572955578,5.345763145911157,6,169,676,1.9939189414197849
22,MJH weighted-count default,267.2881572955578,5.345763145911157,6,169,676,1.9939189414197849
22,MJH weighted-count strict,273.47343612891905,5.469468722578381,3,169,676,2.040059947997059
22,MJH weighted-power,267.2881572955578,5.345763145911157,6,169,676,1.9939189414197849
22,MJH beam-resource matching,273.522442493355,5.4704488498671004,4,169,676,2.0404255261778794
22,TopAP (bisect),252.8244277344999,5.056488554689998,15,200,1600,1.3544165771491068
22,Hybrid#3 (TopAP N=8 adaptive),267.2992409313439,5.345984818626878,7,176,1408,1.6018731977507625
22,Hybrid#4 (TopAP+greedy),252.8240378082098,5.056480756164196,15,182,1456,1.4714756298857883
23,Random,267.1992803562444,5.343985607124888,15,200,1600,1.4314247161941667
23,Gao matching,267.22408154951023,5.344481630990205,15,200,1600,1.4315575797295195
23,GC (Liu),267.22214282776076,5.344442856555215,15,200,1600,1.4315471937201472
23,Structured (Chen),267.19410491594493,5.343882098318899,15,200,1600,1.431396990621134
23,Mussbah,284.47689550350356,5.689537910070071,7,157,623,2.2600550468347675
23,MJH weighted-count default,284.47689550350356,5.689537910070071,7,157,623,2.2600550468347675
23,MJH weighted-count strict,289.2627246521787,5.785254493043574,4,157,623,2.2980765434544077
23,MJH weighted-power,284.47689550350356,5.689537910070071,7,157,623,2.2600550468347675
23,MJH beam-resource matching,288.2393450046858,5.764786900093716,5,157,623,2.2899462018565404
23,TopAP (bisect),267.2306206096095,5.34461241219219,15,197,1576,1.4508290491405305
23,Hybrid#3 (TopAP N=8 adaptive),282.24188890965434,5.644837778193087,8,178,1424,1.6748603832043578
23,Hybrid#4 (TopAP+greedy),267.2131259258145,5.34426251851629,15,186,1488,1.5259148715664672
24,Random,276.63368977173906,5.532673795434781,15,200,1600,1.4819661952057452
24,Gao matching,276.90505877010753,5.538101175402151,15,200,1600,1.4834199576970049
24,GC (Liu),277.00650636849736,5.540130127369947,15,200,1600,1.4839634269740933
24,Structured (Chen),276.97248086534717,5.539449617306944,15,200,1600,1.4837811474929314
24,Mussbah,293.39370129019665,5.867874025803933,8,160,618,2.306796057947872
24,MJH weighted-count default,293.39370129019665,5.867874025803933,8,160,618,2.306796057947872
24,MJH weighted-count strict,301.53581939376227,6.030716387875246,3,160,618,2.37081313078228
24,MJH weighted-power,293.39370129019665,5.867874025803933,8,160,618,2.306796057947872
24,MJH beam-resource matching,300.3597831121639,6.007195662243277,5,160,618,2.36156659329199
24,TopAP (bisect),276.99693001496263,5.539938600299252,15,196,1568,1.5106176877747464
24,Hybrid#3 (TopAP N=8 adaptive),291.1278187310155,5.82255637462031,9,175,1400,1.753341944678638
24,Hybrid#4 (TopAP+greedy),277.00244171206936,5.540048834241387,15,182,1456,1.6121977401032268
25,Random,283.26133476987553,5.665226695397511,14,200,1600,1.5174714362671906
25,Gao matching,280.09770413924815,5.601954082784963,15,200,1600,1.5005234150316868
25,GC (Liu),283.4575601577292,5.669151203154583,14,200,1600,1.5185226437021209
25,Structured (Chen),280.1629156974892,5.603258313949784,15,200,1600,1.500872762665121
25,Mussbah,294.5702651677614,5.891405303355229,8,165,680,2.228357298123392
25,MJH weighted-count default,294.5702651677614,5.891405303355229,8,165,680,2.228357298123392
25,MJH weighted-count strict,306.7822292321034,6.135644584642068,3,165,680,2.3207380386971197
25,MJH weighted-power,294.5702651677614,5.891405303355229,8,165,680,2.228357298123392
25,MJH beam-resource matching,301.62772056601943,6.032554411320389,5,165,680,2.281745348794196
25,TopAP (bisect),283.487274803576,5.66974549607152,14,195,1560,1.5530003641373715
25,Hybrid#3 (TopAP N=8 adaptive),294.6044781243941,5.892089562487882,8,173,1384,1.7920888819854668
25,Hybrid#4 (TopAP+greedy),280.18743451073715,5.603748690214743,15,184,1472,1.615223488724465
26,Random,256.63701280484037,5.132740256096807,15,200,1600,1.3748411400259308
26,Gao matching,256.6990684888888,5.133981369777777,15,200,1600,1.3751735811904762
26,GC (Liu),256.7055895042956,5.134111790085911,15,200,1600,1.3752085152015836
