K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
30,49,MJH weighted-count strict,253.5581579553492,8.45193859851164,3,2.7494920619751593
30,49,MJH beam-resource matching,254.54799127273924,8.484933042424641,3,2.7602254529683283
40,0,Random,219.63386634084196,5.490846658521049,15,1.2045733071709799
40,0,Gao matching,225.44913418915277,5.63622835472882,15,1.2364669151141836
40,0,Mussbah,236.33234663236652,5.908308665809163,7,2.2441941596806196
40,0,Hybrid#3 (TopAP N=8 adaptive),236.41312285979154,5.910328071494789,7,1.6468087736213493
40,0,MJH weighted-count strict,239.90333630888645,5.9975834077221615,3,2.278104008630718
40,0,MJH beam-resource matching,243.48470940013357,6.087117735003339,4,2.312112457704838
40,1,Random,230.61786336045438,5.765446584011359,15,1.264814607095728
40,1,Gao matching,233.31020028849184,5.832755007212296,15,1.2795806231544344
40,1,Mussbah,245.39154629570362,6.1347886573925905,7,2.156751106353321
40,1,Hybrid#3 (TopAP N=8 adaptive),241.88537017179155,6.047134254294789,8,1.6020666972411408
40,1,MJH weighted-count strict,251.03888050676562,6.275972012669141,3,2.206385637336625
40,1,MJH beam-resource matching,252.16888720283077,6.304222180070769,4,2.2163172883193702
40,2,Random,264.59941598858654,6.614985399714664,15,1.4511850968295423
40,2,Gao matching,264.3764120283648,6.60941030070912,15,1.4499620403749442
40,2,Mussbah,279.3892127300289,6.984730318250722,7,2.24195915044626
40,2,Hybrid#3 (TopAP N=8 adaptive),281.12831099138907,7.028207774784727,6,1.783997742938482
40,2,MJH weighted-count strict,287.7578190569086,7.193945476422715,3,2.3091130442838153
40,2,MJH beam-resource matching,287.8598151976755,7.196495379941888,3,2.309931512466134
40,3,Random,239.80812450759225,5.995203112689806,15,1.315218233131219
40,3,Gao matching,238.90252715148281,5.9725631787870705,15,1.3102515200264142
40,3,Mussbah,254.17992824551322,6.354498206137831,6,2.2537011518739165
40,3,Hybrid#3 (TopAP N=8 adaptive),251.46767488498267,6.286691872124567,8,1.6564813628038602
40,3,MJH weighted-count strict,259.4099782631682,6.485249456579206,3,2.300073695254927
40,3,MJH beam-resource matching,258.82176500616623,6.470544125154156,4,2.294858268120286
40,4,Random,236.7205321980868,5.91801330495217,15,1.2982844544684835
40,4,Gao matching,237.00055553112955,5.925013888278238,15,1.299820231432155
40,4,Mussbah,254.96350834209517,6.374087708552379,6,2.12277950468684
40,4,Hybrid#3 (TopAP N=8 adaptive),252.20293337139077,6.305073334284769,7,1.7173212281999033
40,4,MJH weighted-count strict,258.1443607869162,6.453609019672905,3,2.1492626999535105
40,4,MJH beam-resource matching,257.8075308998523,6.445188272496307,4,2.146458315963524
40,5,Random,266.43167625268813,6.660791906317203,14,1.4612340562304653
40,5,Gao matching,259.5295740976884,6.48823935244221,15,1.4233797482505763
40,5,Mussbah,279.99003796028035,6.999750949007009,5,2.441418729489438
40,5,Hybrid#3 (TopAP N=8 adaptive),279.0735552380528,6.97683888095132,6,1.7896978745492913
40,5,MJH weighted-count strict,287.61127846276554,7.190281961569139,2,2.5078733770914012
40,5,MJH beam-resource matching,282.8600740201954,7.071501850504885,3,2.4664444762696878
40,6,Random,270.7785048859397,6.769462622148493,15,1.4850740670161229
40,6,Gao matching,270.79174324270605,6.769793581067651,15,1.4851466722634703
40,6,Mussbah,289.7898839363157,7.244747098407892,6,2.4699053988350275
