tau_p_design,setup,scheme,sum_se,mean_se,p5_se,tau_p_actual,ee_bps_per_hz_per_watt
9,97,Structured (Chen),310.99149913611285,6.219829982722257,1.592042083100436,9,1.6660258882291763
9,97,Mussbah,315.98514279912564,6.319702855982513,1.5554853570424574,7,2.5285554238393626
9,97,MJH weighted-count default,315.98514279912564,6.319702855982513,1.5554853570424574,7,2.5285554238393626
9,97,MJH weighted-count strict,325.6635607134438,6.513271214268876,1.797833948493762,3,2.6060034199528714
9,97,MJH weighted-power,315.98514279912564,6.319702855982513,1.5554853570424574,7,2.5285554238393626
9,97,MJH beam-resource matching,323.9061715495549,6.478123430991099,1.4893940101940746,4,2.5919405565448517
9,97,TopAP (bisect),310.82436773172947,6.216487354634589,1.5939972591226201,9,1.7583878996703535
9,97,Hybrid#3 (TopAP N=8 adaptive),316.2507642811644,6.325015285623287,1.6352361890245468,8,1.8859062621746128
9,97,Hybrid#4 (TopAP+greedy),310.9264897131731,6.218529794263462,1.5948462316032195,9,1.7589656216095029
9,98,Random,289.3466553050608,5.786933106101215,1.6031728921829422,9,1.550071367705683
9,98,Gao matching,289.1066010493175,5.782132020986349,1.614346079436705,9,1.548785362764201
9,98,GC (Liu),289.16539843075157,5.7833079686150315,1.6154792625070669,9,1.5491003487361694
9,98,Structured (Chen),289.0084415719412,5.780168831438824,1.621081922029676,9,1.548259508421114
9,98,Mussbah,291.06420342715495,5.821284068543099,1.8651453125312176,8,2.2827371386632462
9,98,MJH weighted-count default,291.06420342715495,5.821284068543099,1.8651453125312176,8,2.2827371386632462
9,98,MJH weighted-count strict,300.467009516266,6.00934019032532,1.5160136124319579,2,2.3564807815246214
9,98,MJH weighted-power,291.06420342715495,5.821284068543099,1.8651453125312176,8,2.2827371386632462
9,98,MJH beam-resource matching,299.37357716044215,5.9874715432088434,1.6001528606446254,4,2.3479052898706647
9,98,TopAP (bisect),289.19562270059487,5.783912454011897,1.6131512647881587,9,1.643701734669227
9,98,Hybrid#3 (TopAP N=8 adaptive),291.22136282158147,5.82442725643163,1.8791941445869516,8,1.7539053218865635
9,98,Hybrid#4 (TopAP+greedy),289.20966281187447,5.784193256237489,1.6142389191736173,9,1.6437815344775704
9,99,Random,280.51000915197136,5.610200183039427,1.0634464715298184,9,1.5027321918855612
9,99,Gao matching,280.69693880693507,5.613938776138701,1.0583604869572898,9,1.5037336007514381
9,99,GC (Liu),280.7174812770447,5.6143496255408945,1.0555457547549973,9,1.5038436496984542
9,99,Structured (Chen),280.6721873917976,5.613443747835952,1.052800631822683,9,1.5036010038846304
9,99,Mussbah,283.54217655603816,5.670843531120763,0.9524111023748858,8,2.209190031342496
