K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
25,37,Random,157.34720168748157,6.293888067499263,10,1.6858628752230171
25,37,Gao matching,157.44452973238828,6.297781189295531,10,1.6869056757041605
25,37,Mussbah,167.1573228386704,6.686292913546817,5,3.3486158626824563
25,37,Hybrid#3 (TopAP N=8 adaptive),163.85008158661918,6.554003263464767,7,2.0238816047755335
25,37,MJH weighted-count strict,169.84754966704025,6.79390198668161,2,3.40250842376629
25,37,MJH beam-resource matching,168.14925235976168,6.725970094390467,3,3.3684869091468403
25,38,Random,157.86972544471288,6.314789017788516,10,1.6914613440504955
25,38,Gao matching,157.97708156465728,6.319083262586291,10,1.692611588192757
25,38,Mussbah,168.80523006428822,6.752209202571529,4,3.13744929182123
25,38,Hybrid#3 (TopAP N=8 adaptive),161.21477369793436,6.448590947917374,7,1.913339219043826
25,38,MJH weighted-count strict,170.98037712329136,6.839215084931655,2,3.1778770297371546
25,38,MJH beam-resource matching,170.75681817137104,6.830272726854841,3,3.173721916325588
25,39,Random,117.83196158405688,4.7132784633622755,10,1.262485302686324
25,39,Gao matching,118.41009332805649,4.73640373312226,10,1.268679571372034
25,39,Mussbah,127.14550011493658,5.085820004597463,4,2.601265048213658
25,39,Hybrid#3 (TopAP N=8 adaptive),121.66598450464915,4.8666393801859655,7,1.487662333458111
25,39,MJH weighted-count strict,126.75811473795304,5.070324589518122,3,2.5933395452235763
25,39,MJH beam-resource matching,127.19693764579225,5.08787750583169,4,2.602317406740388
25,40,Random,143.0414511086352,5.721658044345407,10,1.5325869761639488
25,40,Gao matching,145.0984170302826,5.8039366812113045,10,1.5546258967530282
25,40,Mussbah,153.71821693174311,6.148728677269725,4,3.267587690747746
25,40,Hybrid#3 (TopAP N=8 adaptive),147.25871073396746,5.890348429358698,7,1.7649865449536655
25,40,MJH weighted-count strict,157.97055551407254,6.318822220562902,2,3.3579796396387565
25,40,MJH beam-resource matching,153.83486446695326,6.153394578678131,4,3.2700672670648325
25,41,Random,128.52769639771032,5.1411078559084125,10,1.3770824614040393
25,41,Gao matching,127.46147074292942,5.098458829717177,10,1.3656586151028156
25,41,Mussbah,133.06626076294953,5.322650430517981,7,2.8648231532444552
25,41,Hybrid#3 (TopAP N=8 adaptive),127.53313352814543,5.1013253411258175,10,1.7540373665762123
25,41,MJH weighted-count strict,138.98421182907222,5.5593684731628885,2,2.992232484030404
25,41,MJH beam-resource matching,136.08357625661472,5.4433430502645885,5,2.9297838370220974
25,42,Random,143.99721126239774,5.75988845049591,10,1.5428272635256903
25,42,Gao matching,146.3741233066661,5.854964932266643,10,1.5682941782857085
25,42,Mussbah,153.3021524842863,6.132086099371452,4,2.88008552746256
